sec,nsec,x,y,z
2201,161000000,0.501054,-0.494328,0.00782137
2201,195000000,0.501055,-0.494328,0.00783124
2201,229000000,0.501056,-0.494328,0.00784275
2201,263000000,0.501057,-0.494328,0.00784151
2201,297000000,0.501059,-0.494328,0.0078438
2201,331000000,0.50106,-0.494328,0.00782262
2201,365000000,0.501061,-0.494328,0.00781853
2201,399000000,0.501062,-0.494328,0.00782367
2201,433000000,0.501063,-0.494328,0.00783861
2201,467000000,0.501065,-0.494327,0.00784535
2201,501000000,0.501066,-0.494327,0.00783497
2201,535000000,0.501067,-0.494327,0.0078162
2201,569000000,0.501068,-0.494327,0.00782766
2201,603000000,0.501069,-0.494327,0.00784133
2201,637000000,0.501071,-0.494327,0.00784481
2201,671000000,0.501072,-0.494327,0.00782819
2201,705000000,0.501073,-0.494327,0.00781628
2201,739000000,0.501074,-0.494327,0.00783166
2201,773000000,0.501075,-0.494327,0.00784346
2201,807000000,0.501076,-0.494327,0.00784304
2201,841000000,0.501078,-0.494327,0.00782257
2201,875000000,0.501079,-0.494327,0.00781909
2201,909000000,0.50108,-0.494327,0.00783533
2201,943000000,0.501081,-0.494327,0.00785002
2201,977000000,0.501082,-0.494327,0.00784252
2202,11000000,0.501084,-0.494327,0.00782839
2202,45000000,0.501085,-0.494326,0.00781629
2202,79000000,0.501086,-0.494326,0.00783164
2202,113000000,0.501087,-0.494326,0.00784344
2202,147000000,0.501088,-0.494326,0.0078362
2202,181000000,0.50109,-0.494326,0.00783248
2202,215000000,0.501091,-0.494326,0.00783194
2202,249000000,0.501092,-0.494326,0.00782443
2202,283000000,0.501093,-0.494326,0.00781962
2202,317000000,0.501094,-0.494326,0.00782697
2202,351000000,0.501095,-0.494326,0.00783578
2202,385000000,0.501097,-0.494326,0.00784488
2202,419000000,0.501098,-0.494326,0.00783982
2202,453000000,0.501099,-0.494326,0.00781842
2202,487000000,0.5011,-0.494326,0.0078234
2202,521000000,0.501102,-0.494326,0.00783856
2202,555000000,0.501103,-0.494326,0.00784441
2202,589000000,0.501104,-0.494326,0.00783145
2202,623000000,0.501105,-0.494326,0.00781584
2202,657000000,0.501106,-0.494325,0.0078224
2202,691000000,0.501107,-0.494325,0.00783765
2202,725000000,0.501109,-0.494325,0.00784576
2202,759000000,0.50111,-0.494325,0.00784277
2202,793000000,0.501111,-0.494325,0.00782259
2202,827000000,0.501112,-0.494325,0.00781909
2202,861000000,0.501113,-0.494325,0.00783532
2202,895000000,0.501115,-0.494325,0.00784485
2202,929000000,0.501116,-0.494325,0.00783984
2202,963000000,0.501117,-0.494325,0.00782234
2202,997000000,0.501118,-0.494325,0.00782191
2203,31000000,0.501119,-0.494325,0.00783159
2203,65000000,0.501121,-0.494325,0.00784345
2203,99000000,0.501122,-0.494325,0.00784302
2203,133000000,0.501123,-0.494325,0.00783632
2203,167000000,0.501124,-0.494324,0.00781868
2203,201000000,0.501125,-0.494324,0.0078175
2203,235000000,0.501126,-0.494324,0.00783213
2203,269000000,0.501128,-0.494324,0.007838
2203,303000000,0.501129,-0.494324,0.0078399
2203,337000000,0.50113,-0.494324,0.00784555
2203,371000000,0.501131,-0.494324,0.00782826
2203,405000000,0.501132,-0.494324,0.00781628
2203,439000000,0.501134,-0.494324,0.00783165
2203,473000000,0.501135,-0.494324,0.00784345
2203,507000000,0.501136,-0.494324,0.00783981
2203,541000000,0.501137,-0.494324,0.00784384
2203,575000000,0.501138,-0.494324,0.00784175
2203,609000000,0.501139,-0.494324,0.00782268
2203,643000000,0.501141,-0.494323,0.00781699
2203,677000000,0.501142,-0.494324,0.00781834
2203,711000000,0.501143,-0.494324,0.00781747
2203,745000000,0.501144,-0.494324,0.00781934
2203,779000000,0.501145,-0.494323,0.00784221
2203,813000000,0.501147,-0.494323,0.00784027
2203,847000000,0.501148,-0.494323,0.0078465
2203,881000000,0.501149,-0.494323,0.00784093
2203,915000000,0.50115,-0.494323,0.00782908
2203,949000000,0.501152,-0.494323,0.00781634
2203,983000000,0.501153,-0.494323,0.00781949
2204,17000000,0.501154,-0.494323,0.00782406
2204,51000000,0.501155,-0.494323,0.00782807
2204,85000000,0.501156,-0.494323,0.00783054
2204,119000000,0.501157,-0.494323,0.00783228
2204,153000000,0.501158,-0.494323,0.00783767
2204,187000000,0.50116,-0.494323,0.00784593
2204,221000000,0.501161,-0.494322,0.00783742
2204,255000000,0.501162,-0.494322,0.00782768
2204,289000000,0.501163,-0.494322,0.00781587
2204,323000000,0.501165,-0.494322,0.00782992
2204,357000000,0.501166,-0.494322,0.00783687
2204,391000000,0.501167,-0.494322,0.00784028
2204,425000000,0.501168,-0.494322,0.00784504
2204,459000000,0.501169,-0.494322,0.00783358
2204,493000000,0.50117,-0.494322,0.00781909
2204,527000000,0.501172,-0.494322,0.00781903
2204,561000000,0.501173,-0.494322,0.00781843
2204,595000000,0.501174,-0.494322,0.00782896
2204,629000000,0.501175,-0.494322,0.00784148
2204,663000000,0.501176,-0.494322,0.00784481
2204,697000000,0.501178,-0.494322,0.00782818
2204,731000000,0.501179,-0.494322,0.00781627
2204,765000000,0.50118,-0.494322,0.00781883
2204,799000000,0.501181,-0.494322,0.00783546
2204,833000000,0.501182,-0.494322,0.00784599
2204,867000000,0.501184,-0.494321,0.00784194
2204,901000000,0.501185,-0.494321,0.00784139
2204,935000000,0.501186,-0.494321,0.00781875
2204,969000000,0.501187,-0.494321,0.00782342
2205,3000000,0.501188,-0.494321,0.00783196
2205,37000000,0.50119,-0.494321,0.00784157
2205,71000000,0.501191,-0.494321,0.00784486
2205,105000000,0.501192,-0.494321,0.00782819
2205,139000000,0.501193,-0.494321,0.00781587
2205,173000000,0.501194,-0.494321,0.00782576
2205,207000000,0.501195,-0.494321,0.00784019
2205,241000000,0.501197,-0.494321,0.00784243
2205,275000000,0.501198,-0.494321,0.00784294
2205,309000000,0.501199,-0.494321,0.00784074
2205,343000000,0.5012,-0.494321,0.00781852
2205,377000000,0.501201,-0.494321,0.00782341
2205,411000000,0.501203,-0.49432,0.00783856
2205,445000000,0.501204,-0.49432,0.00784533
2205,479000000,0.501205,-0.49432,0.00784223
2205,513000000,0.501206,-0.49432,0.0078284
2205,547000000,0.501207,-0.49432,0.00781791
2205,581000000,0.501209,-0.49432,0.00782462
2205,615000000,0.50121,-0.49432,0.00783872
2205,649000000,0.501211,-0.49432,0.00784535
2205,683000000,0.501212,-0.49432,0.00783497
2205,717000000,0.501213,-0.49432,0.0078162
